Product Release,Support Status,General Availability,End of General Support,End of Technical Guidance,End of Availability,Category,Vendor
AirWatch Console 9.1,Unsupported,2017-04-26,2018-10-26,,,,Vmware
AirWatch Console 9.2,Unsupported,2017-09-21,2019-03-21,,,,Vmware
AirWatch Console 9.3,Unsupported,2018-03-14,2019-09-14,,,,Vmware
AirWatch Video for Android 1.0,Unsupported,2015-05-15,2018-03-06,,2017-03-06,,Vmware
AirWatch Video for iOS 1.0,Unsupported,2015-03-03,2018-03-06,,2017-03-06,,Vmware
App Volumes 2.10,Unsupported,2015-11-24,2017-11-24,2018-11-24,,,Vmware
App Volumes 2.11,Unsupported,2016-06-16,2018-06-16,2019-06-16,,,Vmware
App Volumes 2.12,Unsupported,2016-12-08,2018-12-06,2019-12-06,,,Vmware
App Volumes 2.13,Unsupported,2017-10-19,2019-10-19,2020-10-19,,,Vmware
App Volumes 2.14 (ESB),Unsupported,2018-05-28,2020-05-28,2021-05-28,,,Vmware
App Volumes 2.15,Unsupported,2018-12-13,2020-12-13,2021-12-13,,,Vmware
App Volumes 2.16,Unsupported,2019-03-14,2021-03-14,2022-03-14,,,Vmware
App Volumes 2.17,Unsupported,2019-07-02,2021-07-02,2022-07-02,,,Vmware
App Volumes 2.18 (ESB),Supported,2019-09-16,2022-09-16,2023-09-16,,,Vmware
App Volumes 2.19,Supported,2021-12-21,2024-03-09,2025-03-09,,,Vmware
"App Volumes 2.5, 2.6, 2.7",Unsupported,2014-12-09,2016-12-09,2017-12-09,,,Vmware
App Volumes 2.9,Unsupported,2015-06-23,2017-06-23,2018-06-03,,,Vmware
App Volumes 2206,Supported,2022-07-19,2024-07-19,2025-07-19,,,Vmware
App Volumes 2209,Supported,2022-10-20,2024-10-20,2025-10-20,,,Vmware
App Volumes 2212,Supported,2023-01-12,2025-01-12,2026-01-12,,,Vmware
App Volumes 3.0,Unsupported,2016-03-22,2018-03-22,2019-03-22,,,Vmware
App Volumes 4,Unsupported,2020-01-14,2022-01-14,2023-01-14,,,Vmware
