Product,Release,ExtendedEndDate,End of life,Vendor,End of support,Branch,Status
Access 2013,,2023-04-11,,microsoft,,,
Access 2016,,2025-10-14,,microsoft,,,
Access 2019,,2025-10-14,,microsoft,,,
Access 2021,,,2026-10-13,microsoft,,,
Access LTSC 2021,,,,microsoft,,,
Advanced Threat Analytics 1.X,,2026-01-13,,microsoft,,,
Adxstudio Portals v6.x or prior,,2016-04-12,,microsoft,,,
Adxstudio Portals v7.x,,2018-08-01,,microsoft,,,
Alacris Identity Validation Server/Client,,,,microsoft,,,
AppFabric 1.1 for Windows Server,,2022-04-12,,microsoft,,,
AssetMetrix,,,2008-07-08,microsoft,,,
Azure Active Directory (AD) Connect,Version 1.x,,,microsoft,,,
Azure Active Directory (AD) Connect,Version 2.x,,,microsoft,,,
Azure Basic Load Balancer,,,2025-09-30,microsoft,,,
Azure BizTalk Services,,,2018-05-31,microsoft,,,
Azure Cloud Services (classic),,,2024-08-31,microsoft,,,
Azure Container Service,,,2020-01-31,microsoft,,,
Azure CycleCloud,,,,microsoft,,,
Azure Data Lake Storage Gen1,,,2024-02-29,microsoft,,,
Azure Database for MySQL Single Server,,,2024-09-16,microsoft,,,
Azure Dev Spaces,,,2021-05-15,microsoft,,,
Azure DevOps Server 2019,Original Release,2029-04-10,,microsoft,,,
Azure DevOps Server 2019,Update 2019.1,2029-04-10,,microsoft,,,
Azure DevOps Server 2020,,2030-10-08,,microsoft,,,
Azure DevOps Server 2022,,2033-01-11,,microsoft,,,
Azure Information Protection classic client,,,2021-03-31,microsoft,,,
Azure IoT Edge,Version 1.0,,,microsoft,,,
Azure IoT Edge,Version 1.1 (LTS),,,microsoft,,,
Azure IoT Edge,Version 1.2,,,microsoft,,,
Azure IoT Edge,Version 1.3,,,microsoft,,,
Azure IoT Edge,Version 1.4 (LTS),,,microsoft,,,
Azure Kinect SDK,,,,microsoft,,,
Azure Mobile Engagement,,,2018-03-31,microsoft,,,
Azure Power BI Workspace Collection,,,2018-07-30,microsoft,,,
Azure RemoteApp,,,2017-08-31,microsoft,,,
Azure Scheduler,,,2022-02-15,microsoft,,,
Azure Service Fabric,,,,microsoft,,,
Azure SQL Managed Instance,,,,microsoft,,,
Azure Stack HCI,,,,microsoft,,,
Azure Stack Hub,,,,microsoft,,,
Azure StorSimple 1200 Series,,2022-12-31,,microsoft,,,
Azure StorSimple 8000 Series,,2022-12-31,,microsoft,,,
Azure Synapse Analytics,,,,microsoft,,,
Azure Unmanaged Disks,,,2025-09-30,microsoft,,,
Azure Virtual Machine,,,,microsoft,,,
Azure Virtual WAN,,,,microsoft,,,
BizTalk Adapter for MQSeries 2005,,2014-12-31,,microsoft,,,
BizTalk Adapter for Web Services Enhancement 2.0,Original Release,2016-07-12,,microsoft,,,
BizTalk Adapter for Web Services Enhancement 2.0,Service Pack 1,2016-07-12,,microsoft,,,
BizTalk Server 2009,,2019-07-09,,microsoft,,,
BizTalk Server 2009,,2019-07-09,,microsoft,,,
BizTalk Server 2009,,2019-07-09,,microsoft,,,
BizTalk Server 2009,,2019-07-09,,microsoft,,,
BizTalk Server 2009,,2019-07-09,,microsoft,,,
BizTalk Server 2010,,2021-01-12,,microsoft,,,
BizTalk Server 2010,,2021-01-12,,microsoft,,,
BizTalk Server 2010,,2021-01-12,,microsoft,,,
BizTalk Server 2010,,2021-01-12,,microsoft,,,
BizTalk Server 2010,,2021-01-12,,microsoft,,,
BizTalk Server 2013,,2023-07-11,,microsoft,,,
BizTalk Server 2013,,2023-07-11,,microsoft,,,
BizTalk Server 2013,,2023-07-11,,microsoft,,,
BizTalk Server 2013,,2023-07-11,,microsoft,,,
BizTalk Server 2013 R2,,2023-07-11,,microsoft,,,
BizTalk Server 2013 R2,,2023-07-11,,microsoft,,,
BizTalk Server 2013 R2,,2023-07-11,,microsoft,,,
BizTalk Server 2013 R2,,2023-07-11,,microsoft,,,
BizTalk Server 2016,,2027-01-11,,microsoft,,,
BizTalk Server 2016,,2027-01-11,,microsoft,,,
BizTalk Server 2016,,2027-01-11,,microsoft,,,
BizTalk Server 2016,,2027-01-11,,microsoft,,,
BizTalk Server 2020,,2030-04-09,,microsoft,,,
BizTalk Server 2020,,2030-04-09,,microsoft,,,
BizTalk Server 2020,,2030-04-09,,microsoft,,,
BizTalk Server 2020,,2030-04-09,,microsoft,,,
Cloud Platform System,,2022-07-12,,microsoft,,,
Duet Enterprise for Microsoft SharePoint and SAP,Original Release,2017-12-31,,microsoft,,,
Duet Enterprise for Microsoft SharePoint and SAP,version 2.0,2017-12-31,,microsoft,,,
Duet for Microsoft Office and SAP,,,,microsoft,,,
Dynamics 365 Business Central,,,,microsoft,,,
Dynamics 365 Business Central on-premises (Fixed Policy),"Fall 2018 Update, version 13.x",2025-10-14,,microsoft,,,
Dynamics 365 Business Central on-premises (Fixed Policy),"Spring 2019 Update, version 14.x",2025-10-14,,microsoft,,,
Dynamics 365 Business Central on-premises (Modern Policy),"2019 release wave 2, version 15.x",,,microsoft,,,
Dynamics 365 Business Central on-premises (Modern Policy),"2020 release wave 1, version 16.x",,,microsoft,,,
Dynamics 365 Business Central on-premises (Modern Policy),"2020 release wave 2, version 17.x",,,microsoft,,,
Dynamics 365 Business Central on-premises (Modern Policy),"2021 release wave 1, version 18.x",,,microsoft,,,
Dynamics 365 Business Central on-premises (Modern Policy),"2021 release wave 2, version 19.x",,,microsoft,,,
Dynamics 365 Business Central on-premises (Modern Policy),"2022 release wave 1, version 20.x",,,microsoft,,,
Dynamics 365 Business Central on-premises (Modern Policy),"2022 release wave 2, version 21.x",,,microsoft,,,
Dynamics 365 Commerce,,,,microsoft,,,
Dynamics 365 Field Service,,,,microsoft,,,
Dynamics 365 Field Service (on-premises),,,2022-06-30,microsoft,,,
"Dynamics 365 for Customer Engagement Apps, version 9 (on-premises update)",Original Release (ver 9.0),2029-01-09,,microsoft,,,
"Dynamics 365 for Customer Engagement Apps, version 9 (on-premises update)",Service Pack 1 (ver 9.1),2029-01-09,,microsoft,,,
Dynamics 365 for Finance and Operations,,,,microsoft,,,
Dynamics 365 for Finance and Operations (on-premises),,,,microsoft,,,
Dynamics 365 for Talent,,,2022-02-02,microsoft,,,
Dynamics 365 Human Resources,,,,microsoft,,,
Dynamics 365 Layout,,,2021-12-31,microsoft,,,
Dynamics 365 Product Insights,,,,microsoft,,,
Dynamics 365 Project Operations,,,,microsoft,,,
Dynamics 365 Remote Assist,,,,microsoft,,,
Dynamics 9.0 GreatPlains,Original Release,2011-01-11,,microsoft,,,
Dynamics 9.0 GreatPlains,Service Pack 1,2011-01-11,,microsoft,,,
Dynamics 9.0 GreatPlains,Service Pack 2,2011-01-11,,microsoft,,,
Dynamics 9.0 GreatPlains,Service Pack 3,2011-01-11,,microsoft,,,
Dynamics 9.0 GreatPlains,Service Pack 4,2011-01-11,,microsoft,,,
Dynamics AX 2009,Original Release,2022-04-12,,microsoft,,,
Dynamics AX 2009,Service Pack 1,2022-04-12,,microsoft,,,
Dynamics AX 2012,,2022-04-12,,microsoft,,,
Dynamics AX 2012 R2,,2022-04-12,,microsoft,,,
Dynamics AX 2012 R3,,2023-01-10,,microsoft,,,
Dynamics AX 4.0,Original Release,2016-10-11,,microsoft,,,
Dynamics AX 4.0,Service Pack 1,2016-10-11,,microsoft,,,
Dynamics AX 4.0,Service Pack 2,2016-10-11,,microsoft,,,
Dynamics C5 2008,Original Release,,,microsoft,,,
Dynamics C5 2008,Service Pack 1,,,microsoft,,,
Dynamics C5 2010,Original Release,,,microsoft,,,
Dynamics C5 2010,Service Pack 1,,,microsoft,,,
Dynamics C5 2010,Service Pack 2,,,microsoft,,,
Dynamics C5 2012,Original Release,,,microsoft,,,
Dynamics C5 2012,Service Pack 1,,,microsoft,,,
Dynamics C5 2012,Service Pack 2,,,microsoft,,,
Dynamics C5 2014,,,,microsoft,,,
Dynamics C5 2015,,2025-01-14,,microsoft,,,
Dynamics C5 2016,,2026-04-14,,microsoft,,,
Dynamics CRM 1.2,,,,microsoft,,,
Dynamics CRM 2011,,2021-07-13,,microsoft,,,
Dynamics CRM 2013,Original Release (ver 6.0),2024-01-09,,microsoft,,,
Dynamics CRM 2013,Service Pack 1 (ver 6.1),2024-01-09,,microsoft,,,
Dynamics CRM 2015,,2025-01-14,,microsoft,,,
Dynamics CRM 2016 (Dynamics 365),Original Release (ver 8.0),2026-01-13,,microsoft,,,
Dynamics CRM 2016 (Dynamics 365),Service Pack 1 (ver 8.1),2026-01-13,,microsoft,,,
Dynamics CRM 2016 (Dynamics 365),December 2016 Service Pack (ver 8.2),2026-01-13,,microsoft,,,
Dynamics CRM 3.0,,2016-04-12,,microsoft,,,
Dynamics CRM 4.0,,2018-04-10,,microsoft,,,
Dynamics Entrepreneur Solution 2008,,,,microsoft,,,
Dynamics GP,,,,microsoft,,,
Dynamics GP 10.0,Original Release,2017-10-10,,microsoft,,,
Dynamics GP 10.0,Service Pack 1,2017-10-10,,microsoft,,,
Dynamics GP 10.0,Service Pack 2,2017-10-10,,microsoft,,,
Dynamics GP 10.0,Service Pack 3,2017-10-10,,microsoft,,,
Dynamics GP 10.0,Service Pack 4,2017-10-10,,microsoft,,,
Dynamics GP 10.0,Service Pack 5,2017-10-10,,microsoft,,,
Dynamics GP 2010,Original Release,2020-10-13,,microsoft,,,
Dynamics GP 2010,Service Pack 1,2020-10-13,,microsoft,,,
Dynamics GP 2010,Service Pack 2,2020-10-13,,microsoft,,,
Dynamics GP 2010,Service Pack 3,2020-10-13,,microsoft,,,
Dynamics GP 2010,Service Pack 4,2020-10-13,,microsoft,,,
Dynamics GP 2010 R2,,2020-10-13,,microsoft,,,
Dynamics GP 2013,Original Release,2023-04-11,,microsoft,,,
Dynamics GP 2013,Service Pack 1,2023-04-11,,microsoft,,,
Dynamics GP 2013,Service Pack 2,2023-04-11,,microsoft,,,
Dynamics GP 2013 R2,,2023-04-11,,microsoft,,,
Dynamics GP 2015,,2025-04-08,,microsoft,,,
Dynamics GP 2015 R2,,2025-04-08,,microsoft,,,
Dynamics GP 2016,,2026-07-14,,microsoft,,,
Dynamics GP 2016 R2,,2026-07-14,,microsoft,,,
Dynamics GP 2018,,2028-01-11,,microsoft,,,
Dynamics GP 2018 R2,,2028-01-11,,microsoft,,,
Dynamics Marketing,,,2018-05-15,microsoft,,,
Dynamics Mobile Development Tools,,,,microsoft,,,
Dynamics NAV 2009,Original Release,2020-01-14,,microsoft,,,
Dynamics NAV 2009,Service Pack 1,2020-01-14,,microsoft,,,
Dynamics NAV 2009 R2,,2020-01-14,,microsoft,,,
Dynamics NAV 2013,,2023-01-10,,microsoft,,,
Dynamics NAV 2013 R2,,2023-01-10,,microsoft,,,
Dynamics NAV 2015,,2025-01-14,,microsoft,,,
Dynamics NAV 2016,,2026-04-14,,microsoft,,,
